Question,Answer,Context,AnswerIndex
What is Artificial Intelligence (AI)?,The simulation of human intelligence in machines.,AI Basics,1
What is Machine Learning (ML)?,A subset of AI where machines learn from data.,ML Basics,2
What is Deep Learning (DL)?,A subset of ML using neural networks with many layers.,DL Basics,3
What is a neural network?,A model inspired by the human brain that processes data in layers.,DL Basics,4
What is supervised learning?,Learning from labeled data to make predictions.,ML Concepts,5
What is unsupervised learning?,Finding patterns in unlabeled data.,ML Concepts,6
What is reinforcement learning?,Learning by receiving rewards or penalties for actions.,ML Concepts,7
What is a dataset?,A collection of data used to train or test models.,Data Handling,8
What is feature engineering?,Creating or transforming input variables for better model performance.,Feature Engineering,9
What is a model in ML?,A mathematical representation learned from data to make predictions.,ML Concepts,10
What is training a model?,The process of feeding data to a model so it can learn.,ML Concepts,11
What is overfitting?,"When a model learns training data too well, including noise, and performs poorly on new data.",ML Concepts,12
What is underfitting?,When a model is too simple and cannot capture the underlying pattern of the data.,ML Concepts,13
What is a classification problem?,Predicting a discrete label for a given input.,ML Concepts,14
What is a regression problem?,Predicting a continuous value for a given input.,ML Concepts,15
What is a decision tree?,A tree-like model used to make decisions based on feature values.,ML Concepts,16
What is random forest?,An ensemble of decision trees to improve prediction accuracy.,ML Concepts,17
What is a support vector machine (SVM)?,A model that finds a hyperplane to separate classes in feature space.,ML Concepts,18
What is k-nearest neighbors (k-NN)?,A model that predicts based on the closest data points.,ML Concepts,19
What is a perceptron?,The simplest type of artificial neuron.,DL Basics,20
What is a sigmoid function?,A function that maps values to a range between 0 and 1.,DL Concepts,21
What is ReLU?,"Rectified Linear Unit, a common activation function in neural networks.",DL Concepts,22
What is a convolutional neural network (CNN)?,A neural network specialized for processing grid-like data such as images.,DL Concepts,23
What is a recurrent neural network (RNN)?,A neural network designed to handle sequential data.,DL Concepts,24
What is LSTM?,"Long Short-Term Memory, a type of RNN that captures long-term dependencies.",DL Concepts,25
What is GRU?,"Gated Recurrent Unit, a simpler variant of LSTM.",DL Concepts,26
What is an epoch?,One complete pass through the training dataset.,ML Concepts,27
What is a batch?,A subset of the dataset used for one iteration of training.,ML Concepts,28
What is a learning rate?,A hyperparameter that controls how much the model adjusts per iteration.,ML Concepts,29
What is gradient descent?,An optimization algorithm to minimize loss by updating weights.,ML Concepts,30
What is a loss function?,A function that measures how well the model is performing.,ML Concepts,31
What is mean squared error (MSE)?,A loss function used for regression problems.,ML Concepts,32
What is cross-entropy loss?,A loss function commonly used for classification problems.,ML Concepts,33
What is a bias in neural networks?,A parameter that allows the activation function to be shifted.,DL Concepts,34
What is a weight in neural networks?,A parameter that controls the influence of an input on the output.,DL Concepts,35
What is activation function?,A function applied to a neurons output to introduce non-linearity.,DL Concepts,36
What is a layer in a neural network?,A set of neurons that process inputs and pass outputs to the next layer.,DL Concepts,37
What is a hidden layer?,Layers of neurons between input and output layers.,DL Concepts,38
What is the output layer?,The final layer that produces the prediction.,DL Concepts,39
What is a softmax function?,A function that converts outputs into probabilities for multi-class classification.,DL Concepts,40
What is batch normalization?,A technique to normalize layer inputs to stabilize training.,DL Concepts,41
What is dropout?,Randomly setting some neuron outputs to zero to prevent overfitting.,DL Concepts,42
What is data augmentation?,Generating more training data by transforming existing data.,Data Handling,43
What is one-hot encoding?,A method to represent categorical data as binary vectors.,Feature Engineering,44
